ID,Acción,Tiempo_estimado_min,Requiere_insumo,Prioridad,Acción_previa
212,Pintar,57,No,Alta,Instalar ruedas
213,Pintar,52,Sí,Media,Pintar
214,Control de calidad,58,Sí,Media,Instalar ruedas
215,Ensamblar marco,39,No,Media,Ensamblar marco
216,Control de calidad,51,Sí,Baja,Ajuste frenos
217,Ensamblar marco,44,Sí,Baja,Pintar
218,Ensamblar marco,34,Sí,Baja,Ajuste frenos
219,Ensamblar marco,13,Sí,Baja,Control de calidad
220,Control de calidad,48,Sí,Alta,Control de calidad
221,Ensamblar marco,18,Sí,Media,Instalar ruedas
222,Control de calidad,49,No,Alta,Instalar ruedas
223,Ajuste frenos,52,Sí,Baja,Ensamblar marco
224,Ensamblar marco,29,Sí,Media,Pintar
225,Control de calidad,43,Sí,Baja,Instalar ruedas
226,Ajuste frenos,16,No,Alta,Pintar
227,Control de calidad,40,No,Media,Ajuste frenos
228,Instalar ruedas,41,Sí,Baja,Pintar
229,Ajuste frenos,32,No,Media,Control de calidad
230,Ajuste frenos,58,No,Alta,Control de calidad
231,Control de calidad,18,No,Baja,Control de calidad
232,Instalar ruedas,36,No,Alta,Ensamblar marco
233,Ajuste frenos,35,Sí,Media,Control de calidad
234,Ensamblar marco,18,Sí,Media,Pintar
235,Ensamblar marco,55,No,Alta,Ajuste frenos
236,Ajuste frenos,59,No,Alta,Pintar
237,Ajuste frenos,25,Sí,Baja,Instalar ruedas
238,Ajuste frenos,30,No,Alta,Ensamblar marco
239,Pintar,50,Sí,Alta,Ensamblar marco
240,Ensamblar marco,32,No,Baja,Pintar
241,Ajuste frenos,39,No,Baja,Control de calidad
242,Control de calidad,23,No,Alta,Pintar
243,Control de calidad,16,Sí,Alta,Pintar
244,Control de calidad,44,No,Alta,Instalar ruedas
245,Instalar ruedas,59,No,Baja,Ensamblar marco
246,Ensamblar marco,11,No,Baja,Control de calidad
247,Pintar,24,Sí,Media,Control de calidad
248,Ensamblar marco,12,Sí,Media,Ajuste frenos
249,Control de calidad,20,Sí,Baja,Instalar ruedas
250,Pintar,31,No,Media,Pintar
251,Control de calidad,51,No,Media,Pintar
252,Instalar ruedas,37,No,Media,Instalar ruedas
253,Pintar,42,No,Alta,Control de calidad
254,Pintar,55,No,Baja,Control de calidad
255,Ajuste frenos,11,Sí,Media,Pintar
256,Ajuste frenos,23,No,Media,Pintar
257,Instalar ruedas,18,Sí,Media,Ensamblar marco
258,Pintar,41,Sí,Alta,Ensamblar marco
259,Instalar ruedas,50,Sí,Media,Control de calidad
260,Control de calidad,31,Sí,Media,Pintar
261,Pintar,52,No,Alta,Pintar
262,Pintar,28,No,Alta,Control de calidad
263,Ajuste frenos,58,Sí,Media,Instalar ruedas
264,Control de calidad,20,Sí,Baja,Instalar ruedas
265,Instalar ruedas,19,No,Baja,Pintar
266,Ajuste frenos,25,Sí,Baja,Instalar ruedas
267,Control de calidad,58,No,Media,Instalar ruedas
268,Control de calidad,57,No,Baja,Instalar ruedas
269,Instalar ruedas,36,No,Media,Instalar ruedas
270,Ensamblar marco,40,No,Media,Instalar ruedas
271,Ajuste frenos,22,No,Baja,Control de calidad
272,Ajuste frenos,39,Sí,Media,Ensamblar marco
273,Instalar ruedas,38,No,Media,Control de calidad
274,Instalar ruedas,47,Sí,Media,Ensamblar marco
275,Ensamblar marco,40,No,Baja,Ajuste frenos
276,Pintar,54,Sí,Baja,Pintar
277,Ajuste frenos,31,No,Baja,Ensamblar marco
278,Control de calidad,22,No,Baja,Pintar
279,Pintar,21,Sí,Alta,Instalar ruedas
280,Ajuste frenos,58,Sí,Alta,Instalar ruedas
281,Control de calidad,47,No,Baja,Ajuste frenos
282,Instalar ruedas,25,Sí,Baja,Ajuste frenos
283,Ensamblar marco,33,Sí,Media,Ajuste frenos
284,Ensamblar marco,20,Sí,Alta,Control de calidad
285,Instalar ruedas,24,Sí,Baja,Pintar
286,Instalar ruedas,39,Sí,Alta,Ensamblar marco
287,Pintar,11,Sí,Media,Instalar ruedas
288,Instalar ruedas,26,No,Baja,Ensamblar marco
289,Instalar ruedas,36,Sí,Baja,Instalar ruedas
290,Instalar ruedas,46,Sí,Media,Control de calidad
291,Pintar,58,Sí,Baja,Ensamblar marco
292,Instalar ruedas,53,No,Media,Instalar ruedas
293,Pintar,18,Sí,Media,Ajuste frenos
294,Instalar ruedas,17,No,Media,Instalar ruedas
295,Ensamblar marco,19,No,Media,Ensamblar marco
296,Ensamblar marco,56,Sí,Alta,Ensamblar marco
297,Instalar ruedas,58,Sí,Baja,Control de calidad
298,Instalar ruedas,18,No,Media,Ensamblar marco
299,Pintar,23,Sí,Alta,Ajuste frenos
300,Pintar,36,Sí,Media,Instalar ruedas
301,Pintar,38,No,Media,Instalar ruedas
302,Ajuste frenos,25,Sí,Media,Ensamblar marco
303,Ajuste frenos,35,Sí,Media,Ajuste frenos
304,Pintar,17,Sí,Media,Pintar
305,Ensamblar marco,45,Sí,Media,Pintar
306,Control de calidad,53,No,Baja,Control de calidad
307,Instalar ruedas,55,No,Media,Control de calidad
308,Instalar ruedas,44,Sí,Media,Control de calidad
309,Control de calidad,56,Sí,Baja,Instalar ruedas
310,Instalar ruedas,21,No,Baja,Instalar ruedas
311,Control de calidad,51,Sí,Alta,Control de calidad
312,Instalar ruedas,24,No,Alta,Pintar
313,Control de calidad,36,Sí,Media,Ensamblar marco
314,Pintar,12,Sí,Alta,Control de calidad
315,Pintar,28,Sí,Alta,Control de calidad
316,Control de calidad,50,No,Baja,Control de calidad
317,Ajuste frenos,17,Sí,Media,Control de calidad
318,Pintar,42,Sí,Alta,Pintar
319,Control de calidad,25,No,Alta,Ensamblar marco
320,Ensamblar marco,47,Sí,Alta,Instalar ruedas
321,Ajuste frenos,26,No,Baja,Instalar ruedas
322,Control de calidad,10,No,Media,Control de calidad
323,Ensamblar marco,17,Sí,Media,Instalar ruedas
324,Pintar,14,No,Alta,Ensamblar marco
325,Pintar,52,Sí,Media,Ensamblar marco
326,Instalar ruedas,26,No,Media,Instalar ruedas
327,Pintar,51,Sí,Alta,Ajuste frenos
328,Ensamblar marco,24,Sí,Baja,Control de calidad
329,Instalar ruedas,35,Sí,Baja,Ensamblar marco
330,Instalar ruedas,57,Sí,Media,Pintar
331,Control de calidad,51,Sí,Baja,Control de calidad
332,Ajuste frenos,25,Sí,Baja,Control de calidad
333,Pintar,30,Sí,Alta,Ensamblar marco
334,Instalar ruedas,19,Sí,Baja,Pintar
335,Ajuste frenos,49,Sí,Baja,Ensamblar marco
336,Control de calidad,59,Sí,Media,Instalar ruedas
337,Instalar ruedas,41,No,Baja,Ajuste frenos
338,Control de calidad,41,No,Alta,Control de calidad
339,Control de calidad,41,No,Media,Instalar ruedas
340,Instalar ruedas,42,No,Alta,Pintar
341,Control de calidad,26,No,Alta,Instalar ruedas
342,Ajuste frenos,23,Sí,Alta,Instalar ruedas
343,Control de calidad,10,Sí,Baja,Ajuste frenos
344,Pintar,13,No,Media,Control de calidad
345,Pintar,42,Sí,Alta,Ensamblar marco
346,Control de calidad,43,No,Alta,Ajuste frenos
347,Control de calidad,13,No,Media,Pintar
348,Ensamblar marco,35,Sí,Alta,Pintar
349,Instalar ruedas,11,Sí,Alta,Pintar
350,Ajuste frenos,30,No,Alta,Pintar
351,Pintar,50,Sí,Media,Control de calidad
352,Instalar ruedas,26,No,Alta,Pintar
353,Ensamblar marco,37,No,Media,Ensamblar marco
354,Pintar,56,No,Baja,Pintar
355,Control de calidad,48,No,Baja,Control de calidad
356,Ensamblar marco,12,No,Media,Ajuste frenos
357,Ensamblar marco,27,No,Baja,Pintar
358,Pintar,10,No,Media,Ajuste frenos
359,Ensamblar marco,23,No,Alta,Ajuste frenos
360,Control de calidad,24,Sí,Alta,Control de calidad
361,Ensamblar marco,31,Sí,Alta,Control de calidad
362,Pintar,56,No,Media,Control de calidad
363,Ensamblar marco,52,Sí,Alta,Ensamblar marco
364,Ajuste frenos,28,No,Baja,Control de calidad
365,Instalar ruedas,13,No,Media,Control de calidad
366,Instalar ruedas,40,Sí,Alta,Instalar ruedas
367,Ajuste frenos,31,No,Baja,Instalar ruedas
368,Pintar,39,No,Media,Ensamblar marco
369,Instalar ruedas,47,Sí,Baja,Pintar
370,Control de calidad,23,No,Alta,Instalar ruedas
371,Control de calidad,45,No,Baja,Pintar
372,Control de calidad,53,Sí,Alta,Pintar
373,Ensamblar marco,56,Sí,Alta,Instalar ruedas
374,Ensamblar marco,50,No,Baja,Ajuste frenos
375,Pintar,20,No,Media,Ajuste frenos
376,Control de calidad,11,No,Baja,Pintar
377,Instalar ruedas,15,Sí,Alta,Control de calidad
378,Instalar ruedas,57,No,Alta,Ensamblar marco
379,Pintar,10,No,Alta,Instalar ruedas
380,Ajuste frenos,36,No,Baja,Instalar ruedas
381,Instalar ruedas,48,No,Baja,Control de calidad
382,Ajuste frenos,39,Sí,Baja,Ajuste frenos
383,Pintar,13,Sí,Alta,Instalar ruedas
384,Pintar,48,Sí,Baja,Ajuste frenos
385,Ensamblar marco,36,Sí,Baja,Ensamblar marco
386,Ajuste frenos,47,No,Media,Ajuste frenos
387,Instalar ruedas,10,No,Media,Pintar
388,Instalar ruedas,32,No,Alta,Pintar
389,Ajuste frenos,18,Sí,Alta,Pintar
390,Ensamblar marco,27,No,Baja,Pintar
391,Ajuste frenos,42,No,Media,Ensamblar marco
392,Pintar,25,Sí,Baja,Control de calidad
393,Control de calidad,36,Sí,Baja,Ajuste frenos
394,Pintar,38,Sí,Alta,Ajuste frenos
395,Instalar ruedas,36,Sí,Alta,Instalar ruedas
396,Instalar ruedas,33,Sí,Media,Control de calidad
397,Ajuste frenos,16,No,Media,Pintar
398,Pintar,29,No,Baja,Control de calidad
399,Instalar ruedas,40,Sí,Baja,Ensamblar marco
400,Pintar,27,Sí,Alta,Ajuste frenos
401,Ensamblar marco,20,Sí,Alta,Ensamblar marco
402,Instalar ruedas,27,Sí,Alta,Ajuste frenos
403,Ensamblar marco,44,Sí,Media,Ajuste frenos
404,Pintar,56,Sí,Media,Pintar
405,Pintar,42,Sí,Baja,Instalar ruedas
406,Control de calidad,34,Sí,Media,Ensamblar marco
407,Ensamblar marco,33,No,Alta,Control de calidad
408,Ajuste frenos,32,No,Alta,Ensamblar marco
409,Pintar,20,Sí,Alta,Pintar
410,Control de calidad,14,No,Alta,Ajuste frenos
411,Control de calidad,17,No,Media,Ensamblar marco
412,Control de calidad,13,Sí,Alta,Ajuste frenos
413,Ajuste frenos,25,Sí,Media,Ensamblar marco
414,Ajuste frenos,33,No,Baja,Ajuste frenos
415,Control de calidad,23,Sí,Media,Control de calidad
416,Control de calidad,46,No,Media,Pintar
417,Ajuste frenos,52,Sí,Media,Instalar ruedas
418,Instalar ruedas,37,No,Media,Ensamblar marco
419,Control de calidad,17,No,Alta,Instalar ruedas
420,Ajuste frenos,13,Sí,Media,Instalar ruedas
421,Ajuste frenos,21,Sí,Alta,Control de calidad
422,Ajuste frenos,14,No,Alta,Ensamblar marco
423,Pintar,44,No,Media,Ajuste frenos
424,Instalar ruedas,37,No,Baja,Control de calidad
425,Control de calidad,22,No,Alta,Control de calidad
426,Control de calidad,49,No,Media,Pintar
427,Ensamblar marco,15,No,Alta,Pintar
428,Ajuste frenos,37,No,Alta,Ajuste frenos
429,Ajuste frenos,19,Sí,Alta,Ensamblar marco
430,Pintar,21,Sí,Alta,Instalar ruedas
431,Ajuste frenos,11,No,Media,Ensamblar marco
432,Control de calidad,59,No,Media,Ajuste frenos
433,Control de calidad,55,No,Baja,Pintar
434,Control de calidad,29,Sí,Media,Ensamblar marco
435,Instalar ruedas,15,Sí,Alta,Ensamblar marco
436,Ensamblar marco,19,No,Media,Control de calidad
437,Pintar,58,No,Media,Instalar ruedas
438,Ensamblar marco,18,No,Media,Control de calidad
439,Control de calidad,14,No,Media,Pintar
440,Ensamblar marco,45,Sí,Baja,Pintar
441,Ensamblar marco,15,Sí,Alta,Ajuste frenos
442,Instalar ruedas,41,Sí,Media,Ensamblar marco
443,Instalar ruedas,42,No,Media,Ensamblar marco
444,Pintar,58,No,Baja,Pintar
445,Pintar,10,Sí,Media,Ajuste frenos
446,Pintar,56,Sí,Media,Pintar
447,Ensamblar marco,54,No,Baja,Ajuste frenos
448,Ajuste frenos,54,No,Alta,Control de calidad
449,Pintar,27,Sí,Baja,Pintar
450,Control de calidad,26,Sí,Baja,Pintar
451,Instalar ruedas,37,Sí,Media,Control de calidad
452,Pintar,59,Sí,Baja,Ajuste frenos
453,Pintar,47,No,Media,Pintar
454,Control de calidad,55,Sí,Alta,Instalar ruedas
455,Instalar ruedas,26,No,Alta,Control de calidad
456,Ensamblar marco,15,No,Alta,Pintar
457,Pintar,34,Sí,Alta,Instalar ruedas
458,Pintar,30,No,Baja,Pintar
459,Control de calidad,41,Sí,Alta,Instalar ruedas
460,Ajuste frenos,36,No,Media,Ajuste frenos
461,Control de calidad,16,Sí,Baja,Ensamblar marco
462,Instalar ruedas,24,No,Baja,Ajuste frenos
463,Ensamblar marco,52,Sí,Alta,Ajuste frenos
464,Instalar ruedas,24,Sí,Alta,Instalar ruedas
465,Ensamblar marco,33,Sí,Media,Ajuste frenos
466,Pintar,14,Sí,Media,Instalar ruedas
467,Instalar ruedas,53,Sí,Media,Ajuste frenos
468,Ajuste frenos,22,No,Media,Instalar ruedas
469,Ensamblar marco,59,Sí,Baja,Ensamblar marco
470,Ensamblar marco,10,Sí,Alta,Ensamblar marco
471,Pintar,36,Sí,Media,Instalar ruedas
472,Control de calidad,55,Sí,Alta,Instalar ruedas
473,Ajuste frenos,32,Sí,Media,Ensamblar marco
474,Ajuste frenos,21,Sí,Media,Instalar ruedas
475,Control de calidad,39,No,Baja,Control de calidad
476,Instalar ruedas,38,Sí,Alta,Control de calidad
477,Instalar ruedas,19,Sí,Media,Ensamblar marco
478,Ajuste frenos,43,Sí,Alta,Ajuste frenos
479,Ensamblar marco,24,No,Alta,Pintar
480,Control de calidad,23,Sí,Alta,Control de calidad
481,Pintar,33,No,Alta,Instalar ruedas
482,Pintar,50,Sí,Media,Ensamblar marco
483,Ensamblar marco,34,No,Media,Ajuste frenos
484,Ensamblar marco,55,No,Alta,Ensamblar marco
485,Control de calidad,12,No,Alta,Ajuste frenos
486,Pintar,11,No,Alta,Control de calidad
487,Instalar ruedas,31,Sí,Alta,Pintar
488,Instalar ruedas,15,No,Media,Ensamblar marco
489,Instalar ruedas,34,Sí,Alta,Pintar
490,Ensamblar marco,20,No,Alta,Instalar ruedas
491,Control de calidad,46,Sí,Alta,Pintar
492,Instalar ruedas,42,Sí,Baja,Instalar ruedas
493,Instalar ruedas,32,Sí,Media,Ajuste frenos
494,Ajuste frenos,25,Sí,Baja,Ensamblar marco
495,Control de calidad,36,Sí,Alta,Ajuste frenos
496,Control de calidad,16,Sí,Media,Ensamblar marco
497,Ajuste frenos,17,No,Media,Ensamblar marco
498,Pintar,29,No,Baja,Instalar ruedas
499,Pintar,52,Sí,Alta,Pintar
500,Pintar,15,No,Media,Ajuste frenos
501,Ajuste frenos,33,Sí,Baja,Pintar
502,Pintar,27,Sí,Alta,Control de calidad
503,Pintar,28,Sí,Baja,Ajuste frenos
504,Ajuste frenos,38,No,Alta,Pintar
505,Ajuste frenos,29,No,Media,Ensamblar marco
506,Pintar,19,No,Media,Ajuste frenos
507,Control de calidad,44,Sí,Baja,Control de calidad
508,Control de calidad,44,Sí,Baja,Instalar ruedas
509,Instalar ruedas,46,Sí,Alta,Pintar
510,Instalar ruedas,16,No,Media,Ajuste frenos
511,Pintar,38,No,Baja,Control de calidad
512,Control de calidad,45,No,Media,Control de calidad
513,Control de calidad,14,No,Media,Ajuste frenos
514,Control de calidad,40,No,Baja,Pintar
515,Instalar ruedas,20,No,Media,Control de calidad
516,Instalar ruedas,43,Sí,Alta,Ajuste frenos
517,Control de calidad,49,No,Baja,Pintar
518,Ajuste frenos,20,Sí,Baja,Pintar
519,Ensamblar marco,28,Sí,Alta,Control de calidad
520,Ajuste frenos,28,No,Baja,Ajuste frenos
521,Pintar,22,No,Alta,Instalar ruedas
522,Ajuste frenos,13,No,Alta,Instalar ruedas
523,Instalar ruedas,17,Sí,Alta,Control de calidad
524,Pintar,52,Sí,Baja,Ensamblar marco
525,Pintar,23,Sí,Baja,Ajuste frenos
526,Control de calidad,22,No,Alta,Ajuste frenos
527,Ensamblar marco,21,No,Alta,Instalar ruedas
528,Pintar,34,Sí,Media,Ensamblar marco
529,Ajuste frenos,53,No,Alta,Instalar ruedas
530,Control de calidad,20,Sí,Alta,Ensamblar marco
531,Pintar,33,No,Media,Ensamblar marco
