Empleado_ID,Acción,Departamento,Prioridad,Acción_predecesora
107,Capacitación,Operaciones,Baja,Firma contrato
108,Firma contrato,Comercial,Alta,Inducción
109,Asignación de tareas,RRHH,Alta,Inducción
110,Capacitación,Operaciones,Baja,Firma contrato
111,Activación cuenta,Comercial,Baja,Asignación de tareas
112,Firma contrato,RRHH,Alta,Firma contrato
113,Inducción,TI,Alta,Inducción
114,Activación cuenta,RRHH,Media,Capacitación
115,Firma contrato,TI,Media,Inducción
116,Inducción,Operaciones,Media,Inducción
117,Capacitación,TI,Alta,Capacitación
118,Capacitación,RRHH,Media,Inducción
119,Activación cuenta,Operaciones,Media,Firma contrato
120,Firma contrato,TI,Baja,Activación cuenta
121,Capacitación,Comercial,Alta,Inducción
122,Asignación de tareas,Comercial,Media,Capacitación
123,Inducción,Operaciones,Media,Firma contrato
124,Capacitación,TI,Baja,Firma contrato
125,Inducción,Comercial,Alta,Activación cuenta
126,Firma contrato,Operaciones,Media,Capacitación
127,Firma contrato,TI,Baja,Inducción
128,Asignación de tareas,Operaciones,Media,Asignación de tareas
129,Firma contrato,Operaciones,Alta,Capacitación
130,Inducción,Operaciones,Baja,Asignación de tareas
131,Asignación de tareas,TI,Baja,Activación cuenta
132,Asignación de tareas,Comercial,Baja,Asignación de tareas
133,Firma contrato,TI,Baja,Capacitación
134,Capacitación,Comercial,Media,Asignación de tareas
135,Asignación de tareas,Comercial,Media,Inducción
136,Activación cuenta,TI,Baja,Activación cuenta
137,Capacitación,Comercial,Media,Inducción
138,Activación cuenta,Comercial,Baja,Inducción
139,Asignación de tareas,RRHH,Alta,Inducción
140,Activación cuenta,RRHH,Alta,Activación cuenta
141,Firma contrato,Comercial,Alta,Activación cuenta
142,Capacitación,TI,Media,Asignación de tareas
143,Inducción,RRHH,Media,Capacitación
144,Inducción,TI,Media,Firma contrato
145,Inducción,Operaciones,Baja,Firma contrato
146,Activación cuenta,RRHH,Baja,Inducción
147,Inducción,Operaciones,Alta,Inducción
148,Capacitación,RRHH,Media,Firma contrato
149,Firma contrato,Operaciones,Baja,Capacitación
150,Asignación de tareas,Operaciones,Media,Inducción
151,Capacitación,TI,Alta,Asignación de tareas
152,Asignación de tareas,RRHH,Media,Capacitación
153,Activación cuenta,RRHH,Baja,Inducción
154,Activación cuenta,Operaciones,Alta,Inducción
155,Activación cuenta,Comercial,Media,Inducción
156,Asignación de tareas,Operaciones,Alta,Firma contrato
157,Asignación de tareas,Comercial,Baja,Activación cuenta
158,Asignación de tareas,Comercial,Media,Firma contrato
159,Inducción,Operaciones,Baja,Firma contrato
160,Inducción,Comercial,Baja,Asignación de tareas
161,Activación cuenta,Operaciones,Media,Asignación de tareas
162,Firma contrato,TI,Alta,Inducción
163,Capacitación,Operaciones,Media,Inducción
164,Capacitación,TI,Alta,Capacitación
165,Firma contrato,TI,Alta,Capacitación
166,Inducción,Comercial,Alta,Capacitación
167,Firma contrato,Operaciones,Media,Inducción
168,Inducción,TI,Media,Activación cuenta
169,Capacitación,TI,Media,Firma contrato
170,Asignación de tareas,TI,Baja,Activación cuenta
171,Inducción,TI,Alta,Activación cuenta
172,Activación cuenta,TI,Baja,Asignación de tareas
173,Activación cuenta,Operaciones,Media,Firma contrato
174,Firma contrato,RRHH,Media,Capacitación
175,Capacitación,RRHH,Media,Firma contrato
176,Activación cuenta,Operaciones,Alta,Inducción
177,Asignación de tareas,TI,Alta,Firma contrato
178,Inducción,RRHH,Alta,Firma contrato
179,Firma contrato,TI,Alta,Activación cuenta
180,Inducción,RRHH,Alta,Capacitación
181,Capacitación,Comercial,Media,Capacitación
182,Firma contrato,Comercial,Alta,Firma contrato
183,Asignación de tareas,TI,Media,Inducción
184,Inducción,Comercial,Media,Capacitación
185,Firma contrato,RRHH,Baja,Capacitación
186,Asignación de tareas,Comercial,Baja,Capacitación
187,Inducción,TI,Baja,Inducción
188,Asignación de tareas,RRHH,Baja,Asignación de tareas
189,Asignación de tareas,TI,Baja,Activación cuenta
190,Capacitación,TI,Baja,Activación cuenta
191,Inducción,TI,Media,Capacitación
192,Capacitación,RRHH,Baja,Firma contrato
193,Inducción,Operaciones,Media,Capacitación
194,Firma contrato,TI,Alta,Asignación de tareas
195,Firma contrato,Operaciones,Media,Firma contrato
196,Firma contrato,Operaciones,Media,Activación cuenta
197,Firma contrato,Comercial,Media,Asignación de tareas
198,Asignación de tareas,RRHH,Media,Capacitación
199,Firma contrato,RRHH,Alta,Inducción
200,Asignación de tareas,TI,Media,Activación cuenta
201,Asignación de tareas,Operaciones,Baja,Firma contrato
202,Capacitación,TI,Media,Firma contrato
203,Firma contrato,Operaciones,Alta,Asignación de tareas
204,Firma contrato,Comercial,Media,Firma contrato
205,Firma contrato,RRHH,Alta,Inducción
206,Asignación de tareas,RRHH,Media,Asignación de tareas
207,Asignación de tareas,RRHH,Alta,Capacitación
208,Firma contrato,TI,Media,Capacitación
209,Capacitación,TI,Baja,Firma contrato
210,Activación cuenta,RRHH,Media,Activación cuenta
211,Capacitación,Operaciones,Media,Firma contrato
212,Activación cuenta,Operaciones,Baja,Activación cuenta
213,Inducción,TI,Alta,Firma contrato
214,Firma contrato,RRHH,Alta,Inducción
215,Asignación de tareas,Comercial,Alta,Firma contrato
216,Asignación de tareas,RRHH,Alta,Capacitación
217,Inducción,Comercial,Media,Inducción
218,Firma contrato,Operaciones,Alta,Capacitación
219,Firma contrato,TI,Alta,Activación cuenta
220,Activación cuenta,RRHH,Alta,Firma contrato
221,Firma contrato,TI,Media,Activación cuenta
222,Activación cuenta,Comercial,Media,Firma contrato
223,Capacitación,RRHH,Baja,Capacitación
224,Activación cuenta,Operaciones,Alta,Activación cuenta
225,Inducción,Comercial,Baja,Inducción
226,Activación cuenta,Comercial,Baja,Inducción
227,Capacitación,TI,Media,Activación cuenta
228,Asignación de tareas,Operaciones,Media,Asignación de tareas
229,Firma contrato,Operaciones,Alta,Inducción
230,Firma contrato,RRHH,Media,Activación cuenta
231,Activación cuenta,RRHH,Baja,Activación cuenta
232,Activación cuenta,Operaciones,Media,Activación cuenta
233,Capacitación,Comercial,Baja,Firma contrato
234,Activación cuenta,TI,Alta,Inducción
235,Activación cuenta,RRHH,Media,Activación cuenta
236,Asignación de tareas,TI,Baja,Asignación de tareas
237,Inducción,RRHH,Baja,Capacitación
238,Activación cuenta,TI,Media,Firma contrato
239,Inducción,TI,Media,Firma contrato
240,Inducción,Comercial,Baja,Firma contrato
241,Asignación de tareas,RRHH,Baja,Capacitación
242,Asignación de tareas,RRHH,Alta,Firma contrato
243,Activación cuenta,TI,Alta,Activación cuenta
244,Asignación de tareas,Comercial,Media,Asignación de tareas
245,Firma contrato,Comercial,Alta,Firma contrato
246,Activación cuenta,RRHH,Alta,Capacitación
247,Capacitación,TI,Media,Asignación de tareas
248,Firma contrato,Comercial,Media,Asignación de tareas
249,Asignación de tareas,TI,Media,Inducción
250,Inducción,TI,Baja,Activación cuenta
251,Inducción,TI,Baja,Activación cuenta
252,Inducción,Comercial,Baja,Firma contrato
253,Inducción,Operaciones,Baja,Inducción
254,Asignación de tareas,Comercial,Media,Asignación de tareas
255,Asignación de tareas,Comercial,Baja,Activación cuenta
256,Activación cuenta,TI,Baja,Activación cuenta
257,Activación cuenta,Operaciones,Alta,Capacitación
258,Firma contrato,Operaciones,Baja,Activación cuenta
259,Asignación de tareas,RRHH,Baja,Asignación de tareas
260,Firma contrato,Comercial,Alta,Capacitación
261,Firma contrato,Operaciones,Baja,Activación cuenta
262,Firma contrato,RRHH,Media,Activación cuenta
263,Firma contrato,Comercial,Baja,Activación cuenta
264,Asignación de tareas,Operaciones,Media,Firma contrato
265,Inducción,Operaciones,Alta,Asignación de tareas
266,Firma contrato,Comercial,Baja,Firma contrato
267,Capacitación,Comercial,Baja,Activación cuenta
268,Capacitación,Comercial,Alta,Firma contrato
269,Capacitación,RRHH,Media,Inducción
270,Asignación de tareas,Operaciones,Media,Activación cuenta
271,Firma contrato,Comercial,Baja,Inducción
272,Firma contrato,RRHH,Alta,Inducción
273,Capacitación,Operaciones,Baja,Asignación de tareas
274,Inducción,RRHH,Alta,Inducción
275,Capacitación,Comercial,Media,Activación cuenta
276,Capacitación,Comercial,Media,Inducción
277,Activación cuenta,TI,Media,Capacitación
278,Asignación de tareas,RRHH,Alta,Asignación de tareas
279,Activación cuenta,TI,Alta,Capacitación
280,Asignación de tareas,Operaciones,Alta,Inducción
281,Capacitación,RRHH,Alta,Capacitación
282,Firma contrato,Comercial,Alta,Asignación de tareas
283,Firma contrato,RRHH,Baja,Activación cuenta
284,Inducción,TI,Baja,Capacitación
285,Asignación de tareas,Comercial,Baja,Asignación de tareas
286,Firma contrato,Operaciones,Alta,Capacitación
287,Firma contrato,Comercial,Baja,Activación cuenta
288,Firma contrato,RRHH,Baja,Firma contrato
289,Asignación de tareas,RRHH,Alta,Capacitación
290,Inducción,TI,Alta,Asignación de tareas
291,Asignación de tareas,Operaciones,Baja,Activación cuenta
292,Asignación de tareas,TI,Media,Asignación de tareas
293,Asignación de tareas,Comercial,Baja,Asignación de tareas
294,Capacitación,Operaciones,Baja,Inducción
295,Asignación de tareas,Comercial,Media,Activación cuenta
296,Activación cuenta,TI,Alta,Activación cuenta
297,Inducción,TI,Media,Capacitación
298,Capacitación,Comercial,Media,Asignación de tareas
299,Activación cuenta,Comercial,Baja,Asignación de tareas
300,Activación cuenta,TI,Baja,Activación cuenta
301,Firma contrato,Operaciones,Baja,Inducción
302,Capacitación,RRHH,Baja,Capacitación
303,Inducción,Operaciones,Baja,Activación cuenta
304,Activación cuenta,Comercial,Alta,Activación cuenta
305,Inducción,TI,Alta,Activación cuenta
306,Inducción,Operaciones,Media,Firma contrato
307,Asignación de tareas,Comercial,Media,Asignación de tareas
308,Inducción,Comercial,Baja,Firma contrato
309,Asignación de tareas,Operaciones,Baja,Activación cuenta
310,Activación cuenta,Operaciones,Media,Capacitación
311,Capacitación,RRHH,Media,Inducción
312,Firma contrato,RRHH,Media,Firma contrato
313,Activación cuenta,TI,Media,Capacitación
314,Capacitación,TI,Media,Inducción
315,Capacitación,RRHH,Alta,Capacitación
316,Activación cuenta,Operaciones,Baja,Activación cuenta
317,Firma contrato,RRHH,Baja,Capacitación
318,Inducción,Operaciones,Media,Inducción
319,Activación cuenta,Operaciones,Media,Activación cuenta
320,Firma contrato,TI,Media,Asignación de tareas
321,Firma contrato,RRHH,Media,Asignación de tareas
322,Activación cuenta,RRHH,Media,Asignación de tareas
323,Asignación de tareas,TI,Media,Asignación de tareas
324,Capacitación,TI,Media,Asignación de tareas
325,Activación cuenta,Operaciones,Baja,Capacitación
326,Asignación de tareas,RRHH,Media,Firma contrato
327,Activación cuenta,Comercial,Baja,Firma contrato
328,Capacitación,Operaciones,Baja,Capacitación
329,Activación cuenta,Comercial,Baja,Capacitación
330,Firma contrato,Comercial,Baja,Capacitación
331,Firma contrato,RRHH,Media,Asignación de tareas
332,Inducción,RRHH,Alta,Asignación de tareas
333,Asignación de tareas,TI,Media,Inducción
334,Firma contrato,RRHH,Baja,Activación cuenta
335,Firma contrato,Operaciones,Baja,Inducción
336,Asignación de tareas,TI,Baja,Asignación de tareas
337,Activación cuenta,TI,Media,Capacitación
338,Asignación de tareas,Comercial,Baja,Asignación de tareas
339,Asignación de tareas,Comercial,Media,Activación cuenta
340,Firma contrato,TI,Baja,Inducción
341,Capacitación,Operaciones,Baja,Asignación de tareas
342,Activación cuenta,TI,Baja,Capacitación
343,Inducción,RRHH,Baja,Capacitación
344,Activación cuenta,Comercial,Media,Capacitación
345,Firma contrato,Operaciones,Baja,Inducción
346,Inducción,Comercial,Media,Capacitación
347,Firma contrato,RRHH,Alta,Inducción
348,Firma contrato,Operaciones,Media,Firma contrato
349,Capacitación,TI,Media,Asignación de tareas
350,Capacitación,Comercial,Alta,Capacitación
351,Asignación de tareas,RRHH,Alta,Asignación de tareas
352,Capacitación,RRHH,Alta,Capacitación
353,Capacitación,TI,Baja,Activación cuenta
354,Activación cuenta,Operaciones,Alta,Capacitación
355,Capacitación,RRHH,Baja,Inducción
356,Firma contrato,Comercial,Baja,Activación cuenta
357,Firma contrato,TI,Alta,Asignación de tareas
358,Capacitación,TI,Baja,Activación cuenta
359,Capacitación,RRHH,Alta,Asignación de tareas
360,Firma contrato,Comercial,Media,Inducción
361,Inducción,Comercial,Media,Activación cuenta
362,Inducción,TI,Baja,Activación cuenta
363,Asignación de tareas,Operaciones,Baja,Firma contrato
364,Firma contrato,RRHH,Media,Asignación de tareas
365,Activación cuenta,TI,Alta,Firma contrato
366,Asignación de tareas,TI,Alta,Firma contrato
367,Inducción,Operaciones,Baja,Asignación de tareas
368,Asignación de tareas,Operaciones,Media,Inducción
369,Activación cuenta,RRHH,Alta,Asignación de tareas
370,Asignación de tareas,RRHH,Baja,Inducción
371,Asignación de tareas,Operaciones,Media,Asignación de tareas
372,Activación cuenta,RRHH,Baja,Firma contrato
373,Capacitación,Comercial,Alta,Firma contrato
374,Activación cuenta,RRHH,Baja,Firma contrato
375,Activación cuenta,TI,Media,Activación cuenta
376,Activación cuenta,Operaciones,Alta,Asignación de tareas
377,Inducción,RRHH,Baja,Activación cuenta
378,Asignación de tareas,TI,Media,Asignación de tareas
379,Inducción,Comercial,Alta,Capacitación
380,Asignación de tareas,Comercial,Media,Capacitación
381,Firma contrato,Comercial,Baja,Capacitación
382,Capacitación,Comercial,Media,Inducción
383,Inducción,RRHH,Media,Asignación de tareas
384,Inducción,Operaciones,Alta,Asignación de tareas
385,Asignación de tareas,Operaciones,Media,Inducción
386,Inducción,TI,Baja,Firma contrato
387,Capacitación,Operaciones,Alta,Capacitación
388,Activación cuenta,RRHH,Alta,Inducción
389,Asignación de tareas,RRHH,Baja,Capacitación
390,Firma contrato,Comercial,Alta,Capacitación
391,Asignación de tareas,RRHH,Alta,Capacitación
392,Asignación de tareas,TI,Alta,Asignación de tareas
393,Asignación de tareas,RRHH,Alta,Asignación de tareas
394,Asignación de tareas,Operaciones,Media,Capacitación
395,Inducción,TI,Alta,Capacitación
396,Firma contrato,Comercial,Media,Activación cuenta
397,Inducción,Operaciones,Media,Capacitación
398,Inducción,RRHH,Alta,Capacitación
399,Firma contrato,RRHH,Alta,Capacitación
400,Activación cuenta,Comercial,Alta,Inducción
401,Inducción,RRHH,Baja,Inducción
402,Activación cuenta,Operaciones,Baja,Firma contrato
403,Asignación de tareas,Operaciones,Alta,Inducción
404,Asignación de tareas,Comercial,Alta,Activación cuenta
405,Inducción,TI,Media,Firma contrato
406,Inducción,Comercial,Media,Asignación de tareas
407,Capacitación,RRHH,Media,Firma contrato
408,Firma contrato,TI,Alta,Inducción
409,Capacitación,Operaciones,Alta,Firma contrato
410,Inducción,RRHH,Baja,Asignación de tareas
411,Capacitación,Comercial,Baja,Inducción
412,Asignación de tareas,Operaciones,Media,Firma contrato
413,Asignación de tareas,RRHH,Baja,Inducción
414,Inducción,RRHH,Media,Inducción
415,Asignación de tareas,Comercial,Baja,Capacitación
416,Inducción,TI,Media,Capacitación
417,Asignación de tareas,TI,Baja,Capacitación
418,Asignación de tareas,TI,Baja,Capacitación
419,Inducción,Comercial,Media,Activación cuenta
420,Inducción,Operaciones,Media,Capacitación
421,Capacitación,TI,Alta,Capacitación
422,Inducción,Operaciones,Baja,Firma contrato
423,Asignación de tareas,Comercial,Baja,Firma contrato
424,Capacitación,TI,Media,Inducción
425,Activación cuenta,Operaciones,Baja,Asignación de tareas
426,Activación cuenta,Comercial,Baja,Asignación de tareas
427,Asignación de tareas,TI,Alta,Inducción
428,Firma contrato,Operaciones,Baja,Activación cuenta
429,Capacitación,RRHH,Baja,Firma contrato
430,Asignación de tareas,RRHH,Alta,Inducción
431,Firma contrato,TI,Baja,Capacitación
432,Inducción,Comercial,Baja,Firma contrato
433,Firma contrato,Operaciones,Baja,Asignación de tareas
434,Firma contrato,TI,Alta,Asignación de tareas
435,Inducción,RRHH,Baja,Firma contrato
436,Asignación de tareas,Operaciones,Media,Activación cuenta
437,Capacitación,Comercial,Baja,Activación cuenta
438,Capacitación,RRHH,Media,Firma contrato
439,Inducción,TI,Baja,Inducción
440,Inducción,RRHH,Media,Activación cuenta
441,Capacitación,TI,Baja,Firma contrato
442,Asignación de tareas,RRHH,Media,Inducción
443,Asignación de tareas,TI,Alta,Firma contrato
444,Asignación de tareas,Comercial,Alta,Activación cuenta
445,Inducción,Operaciones,Alta,Inducción
446,Inducción,Operaciones,Media,Capacitación
447,Activación cuenta,RRHH,Baja,Capacitación
448,Asignación de tareas,Comercial,Baja,Inducción
449,Asignación de tareas,TI,Media,Capacitación
450,Capacitación,TI,Baja,Firma contrato
451,Inducción,RRHH,Media,Asignación de tareas
452,Capacitación,Operaciones,Baja,Asignación de tareas
453,Asignación de tareas,RRHH,Media,Inducción
454,Activación cuenta,TI,Media,Activación cuenta
455,Capacitación,Operaciones,Media,Capacitación
456,Capacitación,TI,Media,Firma contrato
457,Activación cuenta,TI,Alta,Inducción
458,Firma contrato,TI,Alta,Capacitación
459,Inducción,TI,Media,Capacitación
460,Firma contrato,RRHH,Alta,Firma contrato
461,Firma contrato,Comercial,Alta,Capacitación
462,Asignación de tareas,TI,Baja,Firma contrato
463,Activación cuenta,Comercial,Alta,Activación cuenta
464,Inducción,TI,Alta,Asignación de tareas
465,Capacitación,RRHH,Alta,Inducción
466,Firma contrato,Operaciones,Alta,Firma contrato
467,Activación cuenta,TI,Baja,Capacitación
468,Firma contrato,TI,Media,Capacitación
469,Asignación de tareas,Comercial,Alta,Activación cuenta
470,Inducción,Operaciones,Baja,Capacitación
471,Inducción,RRHH,Alta,Activación cuenta
472,Capacitación,Operaciones,Media,Firma contrato
473,Asignación de tareas,RRHH,Media,Firma contrato
474,Asignación de tareas,Comercial,Alta,Firma contrato
475,Inducción,TI,Alta,Activación cuenta
476,Inducción,TI,Media,Firma contrato
477,Firma contrato,Operaciones,Media,Firma contrato
478,Capacitación,Comercial,Alta,Firma contrato
479,Asignación de tareas,RRHH,Alta,Inducción
480,Activación cuenta,TI,Alta,Firma contrato
481,Firma contrato,RRHH,Media,Capacitación
482,Capacitación,Operaciones,Baja,Activación cuenta
483,Asignación de tareas,TI,Baja,Firma contrato
484,Firma contrato,RRHH,Baja,Inducción
485,Inducción,Operaciones,Baja,Firma contrato
486,Firma contrato,Comercial,Media,Capacitación
487,Capacitación,RRHH,Alta,Capacitación
488,Activación cuenta,Comercial,Media,Inducción
489,Firma contrato,RRHH,Baja,Capacitación
490,Asignación de tareas,TI,Baja,Activación cuenta
491,Asignación de tareas,Comercial,Baja,Firma contrato
492,Firma contrato,Operaciones,Baja,Firma contrato
493,Activación cuenta,Comercial,Baja,Activación cuenta
494,Capacitación,Comercial,Media,Asignación de tareas
495,Asignación de tareas,TI,Baja,Activación cuenta
496,Capacitación,Comercial,Media,Firma contrato
497,Inducción,Operaciones,Media,Activación cuenta
498,Asignación de tareas,Operaciones,Alta,Capacitación
499,Activación cuenta,TI,Alta,Activación cuenta
500,Inducción,RRHH,Baja,Activación cuenta
501,Capacitación,RRHH,Media,Firma contrato
502,Inducción,Comercial,Baja,Asignación de tareas
503,Firma contrato,TI,Baja,Asignación de tareas
504,Firma contrato,TI,Baja,Capacitación
505,Capacitación,TI,Media,Asignación de tareas
506,Capacitación,TI,Alta,Firma contrato
507,Firma contrato,Comercial,Baja,Asignación de tareas
508,Activación cuenta,Comercial,Baja,Asignación de tareas
509,Asignación de tareas,TI,Baja,Asignación de tareas
510,Capacitación,Operaciones,Media,Capacitación
511,Capacitación,Operaciones,Baja,Capacitación
512,Activación cuenta,Comercial,Alta,Inducción
513,Inducción,RRHH,Media,Firma contrato
514,Capacitación,TI,Alta,Capacitación
515,Activación cuenta,Operaciones,Alta,Firma contrato
516,Capacitación,TI,Media,Capacitación
517,Activación cuenta,Comercial,Alta,Activación cuenta
518,Activación cuenta,RRHH,Media,Activación cuenta
519,Capacitación,Comercial,Alta,Inducción
520,Firma contrato,RRHH,Media,Inducción
521,Asignación de tareas,TI,Baja,Asignación de tareas
522,Capacitación,Operaciones,Baja,Capacitación
523,Capacitación,Operaciones,Media,Inducción
524,Asignación de tareas,Operaciones,Media,Firma contrato
525,Capacitación,TI,Alta,Firma contrato
526,Activación cuenta,Comercial,Media,Activación cuenta
527,Capacitación,TI,Media,Inducción
528,Inducción,TI,Alta,Capacitación
529,Capacitación,RRHH,Media,Asignación de tareas
530,Asignación de tareas,Operaciones,Media,Firma contrato
531,Activación cuenta,TI,Alta,Asignación de tareas
532,Inducción,Comercial,Media,Firma contrato
533,Inducción,Operaciones,Baja,Inducción
534,Activación cuenta,Comercial,Media,Firma contrato
535,Inducción,Operaciones,Media,Activación cuenta
536,Firma contrato,Comercial,Alta,Activación cuenta
537,Asignación de tareas,Operaciones,Media,Firma contrato
538,Inducción,Comercial,Baja,Activación cuenta
539,Capacitación,Comercial,Media,Inducción
540,Asignación de tareas,Comercial,Alta,Inducción
541,Firma contrato,Comercial,Baja,Asignación de tareas
542,Capacitación,TI,Baja,Capacitación
543,Firma contrato,TI,Media,Firma contrato
544,Firma contrato,RRHH,Alta,Capacitación
545,Asignación de tareas,RRHH,Alta,Capacitación
546,Activación cuenta,Operaciones,Media,Inducción
547,Activación cuenta,RRHH,Alta,Capacitación
548,Firma contrato,Operaciones,Baja,Asignación de tareas
549,Activación cuenta,Operaciones,Media,Inducción
550,Asignación de tareas,Comercial,Media,Capacitación
551,Asignación de tareas,RRHH,Media,Capacitación
552,Capacitación,Operaciones,Alta,Inducción
553,Asignación de tareas,Comercial,Baja,Firma contrato
554,Capacitación,Operaciones,Baja,Activación cuenta
555,Firma contrato,TI,Baja,Firma contrato
556,Inducción,Operaciones,Alta,Firma contrato
557,Inducción,TI,Alta,Capacitación
558,Activación cuenta,Comercial,Alta,Firma contrato
559,Firma contrato,TI,Baja,Firma contrato
560,Activación cuenta,Operaciones,Media,Firma contrato
561,Firma contrato,RRHH,Baja,Capacitación
562,Asignación de tareas,Operaciones,Media,Capacitación
563,Activación cuenta,TI,Alta,Asignación de tareas
564,Capacitación,Operaciones,Alta,Asignación de tareas
565,Capacitación,Comercial,Media,Firma contrato
566,Activación cuenta,Comercial,Media,Inducción
567,Capacitación,Operaciones,Media,Asignación de tareas
568,Asignación de tareas,Operaciones,Alta,Capacitación
569,Activación cuenta,Operaciones,Alta,Activación cuenta
570,Inducción,Comercial,Alta,Asignación de tareas
571,Capacitación,Operaciones,Baja,Firma contrato
572,Capacitación,Comercial,Baja,Capacitación
573,Activación cuenta,Comercial,Alta,Firma contrato
