Pedido_ID,Zona,Hora_disponibilidad,Acción,Vehículo_asignado,Acción_antes
137,Centro,2025-07-01 10:16:00,Cargar vehículo,VAN-711,Entrega
138,Este,2025-07-01 10:17:00,Cargar vehículo,VAN-902,Entrega
139,Este,2025-07-01 10:18:00,Ruta principal,VAN-384,Confirmación
140,Norte,2025-07-01 10:19:00,Confirmación,VAN-453,Cargar vehículo
141,Este,2025-07-01 10:20:00,Confirmación,VAN-595,Entrega
142,Oeste,2025-07-01 10:21:00,Ruta principal,VAN-658,Cargar vehículo
143,Este,2025-07-01 10:22:00,Confirmación,VAN-660,Cargar vehículo
144,Sur,2025-07-01 10:23:00,Confirmación,VAN-665,Recoger pedido
145,Centro,2025-07-01 10:24:00,Cargar vehículo,VAN-403,Recoger pedido
146,Oeste,2025-07-01 10:25:00,Cargar vehículo,VAN-235,Cargar vehículo
147,Centro,2025-07-01 10:26:00,Entrega,VAN-509,Recoger pedido
148,Centro,2025-07-01 10:27:00,Confirmación,VAN-574,Confirmación
149,Este,2025-07-01 10:28:00,Entrega,VAN-378,Entrega
150,Este,2025-07-01 10:29:00,Entrega,VAN-272,Cargar vehículo
151,Centro,2025-07-01 10:30:00,Recoger pedido,VAN-637,Confirmación
152,Norte,2025-07-01 10:31:00,Entrega,VAN-565,Recoger pedido
153,Centro,2025-07-01 10:32:00,Ruta principal,VAN-412,Entrega
154,Centro,2025-07-01 10:33:00,Ruta principal,VAN-359,Confirmación
155,Centro,2025-07-01 10:34:00,Recoger pedido,VAN-881,Recoger pedido
156,Sur,2025-07-01 10:35:00,Entrega,VAN-316,Confirmación
157,Norte,2025-07-01 10:36:00,Recoger pedido,VAN-685,Confirmación
158,Oeste,2025-07-01 10:37:00,Recoger pedido,VAN-598,Recoger pedido
159,Oeste,2025-07-01 10:38:00,Ruta principal,VAN-992,Ruta principal
160,Centro,2025-07-01 10:39:00,Confirmación,VAN-277,Ruta principal
161,Norte,2025-07-01 10:40:00,Entrega,VAN-502,Recoger pedido
162,Sur,2025-07-01 10:41:00,Ruta principal,VAN-304,Entrega
163,Sur,2025-07-01 10:42:00,Entrega,VAN-396,Ruta principal
164,Oeste,2025-07-01 10:43:00,Cargar vehículo,VAN-596,Ruta principal
165,Este,2025-07-01 10:44:00,Cargar vehículo,VAN-688,Ruta principal
166,Centro,2025-07-01 10:45:00,Entrega,VAN-584,Cargar vehículo
167,Este,2025-07-01 10:46:00,Recoger pedido,VAN-879,Confirmación
168,Norte,2025-07-01 10:47:00,Ruta principal,VAN-654,Ruta principal
169,Oeste,2025-07-01 10:48:00,Confirmación,VAN-311,Cargar vehículo
170,Oeste,2025-07-01 10:49:00,Recoger pedido,VAN-816,Recoger pedido
171,Sur,2025-07-01 10:50:00,Confirmación,VAN-760,Entrega
172,Sur,2025-07-01 10:51:00,Ruta principal,VAN-165,Confirmación
173,Oeste,2025-07-01 10:52:00,Confirmación,VAN-268,Cargar vehículo
174,Oeste,2025-07-01 10:53:00,Entrega,VAN-927,Ruta principal
175,Sur,2025-07-01 10:54:00,Cargar vehículo,VAN-265,Entrega
176,Norte,2025-07-01 10:55:00,Cargar vehículo,VAN-796,Confirmación
177,Sur,2025-07-01 10:56:00,Cargar vehículo,VAN-775,Entrega
178,Sur,2025-07-01 10:57:00,Confirmación,VAN-882,Ruta principal
179,Sur,2025-07-01 10:58:00,Recoger pedido,VAN-164,Entrega
180,Norte,2025-07-01 10:59:00,Cargar vehículo,VAN-959,Cargar vehículo
181,Este,2025-07-01 11:00:00,Entrega,VAN-270,Recoger pedido
182,Oeste,2025-07-01 11:01:00,Cargar vehículo,VAN-494,Confirmación
183,Oeste,2025-07-01 11:02:00,Confirmación,VAN-569,Cargar vehículo
184,Oeste,2025-07-01 11:03:00,Recoger pedido,VAN-906,Cargar vehículo
185,Centro,2025-07-01 11:04:00,Recoger pedido,VAN-601,Entrega
186,Sur,2025-07-01 11:05:00,Cargar vehículo,VAN-687,Recoger pedido
187,Este,2025-07-01 11:06:00,Recoger pedido,VAN-859,Recoger pedido
188,Norte,2025-07-01 11:07:00,Confirmación,VAN-637,Recoger pedido
189,Norte,2025-07-01 11:08:00,Recoger pedido,VAN-769,Ruta principal
190,Sur,2025-07-01 11:09:00,Recoger pedido,VAN-745,Cargar vehículo
191,Este,2025-07-01 11:10:00,Entrega,VAN-992,Confirmación
192,Sur,2025-07-01 11:11:00,Entrega,VAN-360,Cargar vehículo
193,Norte,2025-07-01 11:12:00,Confirmación,VAN-203,Entrega
194,Este,2025-07-01 11:13:00,Entrega,VAN-944,Ruta principal
195,Oeste,2025-07-01 11:14:00,Entrega,VAN-744,Recoger pedido
196,Centro,2025-07-01 11:15:00,Entrega,VAN-999,Cargar vehículo
197,Centro,2025-07-01 11:16:00,Cargar vehículo,VAN-751,Cargar vehículo
198,Este,2025-07-01 11:17:00,Recoger pedido,VAN-969,Recoger pedido
199,Oeste,2025-07-01 11:18:00,Ruta principal,VAN-316,Cargar vehículo
200,Norte,2025-07-01 11:19:00,Confirmación,VAN-661,Confirmación
201,Centro,2025-07-01 11:20:00,Ruta principal,VAN-886,Cargar vehículo
202,Norte,2025-07-01 11:21:00,Ruta principal,VAN-494,Cargar vehículo
203,Norte,2025-07-01 11:22:00,Confirmación,VAN-183,Entrega
204,Este,2025-07-01 11:23:00,Ruta principal,VAN-463,Confirmación
205,Este,2025-07-01 11:24:00,Entrega,VAN-921,Recoger pedido
206,Norte,2025-07-01 11:25:00,Entrega,VAN-920,Confirmación
207,Centro,2025-07-01 11:26:00,Cargar vehículo,VAN-514,Confirmación
208,Oeste,2025-07-01 11:27:00,Ruta principal,VAN-362,Confirmación
209,Norte,2025-07-01 11:28:00,Entrega,VAN-656,Confirmación
210,Centro,2025-07-01 11:29:00,Ruta principal,VAN-859,Recoger pedido
211,Oeste,2025-07-01 11:30:00,Cargar vehículo,VAN-833,Ruta principal
212,Oeste,2025-07-01 11:31:00,Entrega,VAN-135,Cargar vehículo
213,Centro,2025-07-01 11:32:00,Cargar vehículo,VAN-225,Cargar vehículo
214,Oeste,2025-07-01 11:33:00,Ruta principal,VAN-119,Cargar vehículo
215,Centro,2025-07-01 11:34:00,Ruta principal,VAN-377,Confirmación
216,Centro,2025-07-01 11:35:00,Confirmación,VAN-861,Confirmación
217,Oeste,2025-07-01 11:36:00,Recoger pedido,VAN-512,Confirmación
218,Este,2025-07-01 11:37:00,Ruta principal,VAN-185,Recoger pedido
219,Sur,2025-07-01 11:38:00,Recoger pedido,VAN-837,Cargar vehículo
220,Este,2025-07-01 11:39:00,Recoger pedido,VAN-488,Ruta principal
221,Este,2025-07-01 11:40:00,Ruta principal,VAN-841,Ruta principal
222,Oeste,2025-07-01 11:41:00,Ruta principal,VAN-790,Confirmación
223,Norte,2025-07-01 11:42:00,Confirmación,VAN-250,Ruta principal
224,Este,2025-07-01 11:43:00,Ruta principal,VAN-457,Entrega
225,Sur,2025-07-01 11:44:00,Cargar vehículo,VAN-371,Recoger pedido
226,Sur,2025-07-01 11:45:00,Cargar vehículo,VAN-488,Confirmación
227,Este,2025-07-01 11:46:00,Ruta principal,VAN-283,Recoger pedido
228,Norte,2025-07-01 11:47:00,Ruta principal,VAN-540,Ruta principal
229,Oeste,2025-07-01 11:48:00,Cargar vehículo,VAN-373,Ruta principal
230,Oeste,2025-07-01 11:49:00,Confirmación,VAN-809,Confirmación
231,Sur,2025-07-01 11:50:00,Cargar vehículo,VAN-238,Ruta principal
232,Norte,2025-07-01 11:51:00,Cargar vehículo,VAN-678,Entrega
233,Oeste,2025-07-01 11:52:00,Entrega,VAN-639,Cargar vehículo
234,Norte,2025-07-01 11:53:00,Entrega,VAN-312,Recoger pedido
235,Sur,2025-07-01 11:54:00,Confirmación,VAN-229,Ruta principal
236,Centro,2025-07-01 11:55:00,Recoger pedido,VAN-785,Ruta principal
237,Norte,2025-07-01 11:56:00,Cargar vehículo,VAN-600,Entrega
238,Sur,2025-07-01 11:57:00,Ruta principal,VAN-725,Confirmación
239,Centro,2025-07-01 11:58:00,Cargar vehículo,VAN-237,Entrega
240,Este,2025-07-01 11:59:00,Entrega,VAN-966,Ruta principal
241,Norte,2025-07-01 12:00:00,Recoger pedido,VAN-304,Ruta principal
242,Oeste,2025-07-01 12:01:00,Recoger pedido,VAN-563,Confirmación
243,Oeste,2025-07-01 12:02:00,Ruta principal,VAN-295,Ruta principal
244,Centro,2025-07-01 12:03:00,Confirmación,VAN-283,Recoger pedido
245,Centro,2025-07-01 12:04:00,Ruta principal,VAN-672,Entrega
246,Este,2025-07-01 12:05:00,Ruta principal,VAN-270,Entrega
247,Este,2025-07-01 12:06:00,Entrega,VAN-240,Cargar vehículo
248,Oeste,2025-07-01 12:07:00,Confirmación,VAN-308,Entrega
249,Sur,2025-07-01 12:08:00,Recoger pedido,VAN-645,Entrega
250,Sur,2025-07-01 12:09:00,Confirmación,VAN-406,Ruta principal
251,Este,2025-07-01 12:10:00,Confirmación,VAN-312,Recoger pedido
252,Este,2025-07-01 12:11:00,Entrega,VAN-940,Recoger pedido
253,Sur,2025-07-01 12:12:00,Recoger pedido,VAN-823,Ruta principal
254,Norte,2025-07-01 12:13:00,Ruta principal,VAN-147,Confirmación
255,Norte,2025-07-01 12:14:00,Cargar vehículo,VAN-557,Cargar vehículo
256,Este,2025-07-01 12:15:00,Confirmación,VAN-245,Recoger pedido
257,Sur,2025-07-01 12:16:00,Cargar vehículo,VAN-656,Ruta principal
258,Sur,2025-07-01 12:17:00,Confirmación,VAN-524,Confirmación
259,Oeste,2025-07-01 12:18:00,Entrega,VAN-342,Recoger pedido
260,Sur,2025-07-01 12:19:00,Cargar vehículo,VAN-807,Recoger pedido
261,Centro,2025-07-01 12:20:00,Ruta principal,VAN-918,Cargar vehículo
262,Este,2025-07-01 12:21:00,Recoger pedido,VAN-832,Recoger pedido
263,Sur,2025-07-01 12:22:00,Confirmación,VAN-845,Ruta principal
264,Oeste,2025-07-01 12:23:00,Cargar vehículo,VAN-333,Entrega
265,Norte,2025-07-01 12:24:00,Ruta principal,VAN-982,Entrega
266,Oeste,2025-07-01 12:25:00,Cargar vehículo,VAN-193,Confirmación
267,Este,2025-07-01 12:26:00,Cargar vehículo,VAN-410,Recoger pedido
268,Centro,2025-07-01 12:27:00,Recoger pedido,VAN-949,Confirmación
269,Oeste,2025-07-01 12:28:00,Cargar vehículo,VAN-490,Ruta principal
270,Sur,2025-07-01 12:29:00,Ruta principal,VAN-592,Confirmación
271,Oeste,2025-07-01 12:30:00,Confirmación,VAN-621,Entrega
272,Oeste,2025-07-01 12:31:00,Entrega,VAN-780,Ruta principal
273,Oeste,2025-07-01 12:32:00,Entrega,VAN-665,Recoger pedido
274,Este,2025-07-01 12:33:00,Recoger pedido,VAN-908,Ruta principal
275,Norte,2025-07-01 12:34:00,Cargar vehículo,VAN-502,Confirmación
276,Sur,2025-07-01 12:35:00,Ruta principal,VAN-843,Confirmación
277,Norte,2025-07-01 12:36:00,Confirmación,VAN-381,Ruta principal
278,Norte,2025-07-01 12:37:00,Recoger pedido,VAN-935,Ruta principal
279,Este,2025-07-01 12:38:00,Cargar vehículo,VAN-239,Cargar vehículo
280,Oeste,2025-07-01 12:39:00,Entrega,VAN-449,Recoger pedido
281,Norte,2025-07-01 12:40:00,Cargar vehículo,VAN-952,Cargar vehículo
282,Centro,2025-07-01 12:41:00,Cargar vehículo,VAN-374,Entrega
283,Sur,2025-07-01 12:42:00,Confirmación,VAN-203,Cargar vehículo
284,Sur,2025-07-01 12:43:00,Entrega,VAN-122,Recoger pedido
285,Norte,2025-07-01 12:44:00,Recoger pedido,VAN-239,Cargar vehículo
286,Centro,2025-07-01 12:45:00,Recoger pedido,VAN-475,Ruta principal
287,Sur,2025-07-01 12:46:00,Entrega,VAN-128,Confirmación
288,Oeste,2025-07-01 12:47:00,Entrega,VAN-257,Recoger pedido
289,Norte,2025-07-01 12:48:00,Entrega,VAN-885,Entrega
290,Oeste,2025-07-01 12:49:00,Ruta principal,VAN-113,Entrega
291,Sur,2025-07-01 12:50:00,Confirmación,VAN-433,Entrega
292,Sur,2025-07-01 12:51:00,Recoger pedido,VAN-744,Confirmación
293,Sur,2025-07-01 12:52:00,Cargar vehículo,VAN-721,Cargar vehículo
294,Sur,2025-07-01 12:53:00,Entrega,VAN-238,Ruta principal
295,Norte,2025-07-01 12:54:00,Entrega,VAN-510,Cargar vehículo
296,Oeste,2025-07-01 12:55:00,Recoger pedido,VAN-919,Recoger pedido
297,Este,2025-07-01 12:56:00,Entrega,VAN-715,Entrega
298,Norte,2025-07-01 12:57:00,Entrega,VAN-896,Confirmación
299,Oeste,2025-07-01 12:58:00,Cargar vehículo,VAN-505,Entrega
300,Sur,2025-07-01 12:59:00,Ruta principal,VAN-779,Cargar vehículo
301,Oeste,2025-07-01 13:00:00,Entrega,VAN-417,Cargar vehículo
302,Norte,2025-07-01 13:01:00,Ruta principal,VAN-634,Cargar vehículo
303,Oeste,2025-07-01 13:02:00,Entrega,VAN-119,Ruta principal
304,Sur,2025-07-01 13:03:00,Entrega,VAN-560,Entrega
305,Este,2025-07-01 13:04:00,Entrega,VAN-727,Cargar vehículo
306,Este,2025-07-01 13:05:00,Cargar vehículo,VAN-199,Confirmación
307,Oeste,2025-07-01 13:06:00,Cargar vehículo,VAN-675,Entrega
308,Norte,2025-07-01 13:07:00,Cargar vehículo,VAN-377,Ruta principal
309,Sur,2025-07-01 13:08:00,Entrega,VAN-649,Ruta principal
310,Norte,2025-07-01 13:09:00,Entrega,VAN-172,Ruta principal
311,Norte,2025-07-01 13:10:00,Cargar vehículo,VAN-801,Confirmación
312,Norte,2025-07-01 13:11:00,Cargar vehículo,VAN-665,Ruta principal
313,Este,2025-07-01 13:12:00,Confirmación,VAN-946,Ruta principal
314,Oeste,2025-07-01 13:13:00,Cargar vehículo,VAN-273,Recoger pedido
315,Centro,2025-07-01 13:14:00,Ruta principal,VAN-130,Confirmación
316,Este,2025-07-01 13:15:00,Cargar vehículo,VAN-580,Cargar vehículo
317,Oeste,2025-07-01 13:16:00,Cargar vehículo,VAN-560,Entrega
318,Norte,2025-07-01 13:17:00,Confirmación,VAN-587,Ruta principal
319,Norte,2025-07-01 13:18:00,Recoger pedido,VAN-681,Confirmación
320,Sur,2025-07-01 13:19:00,Recoger pedido,VAN-674,Entrega
321,Norte,2025-07-01 13:20:00,Entrega,VAN-732,Cargar vehículo
322,Centro,2025-07-01 13:21:00,Recoger pedido,VAN-272,Cargar vehículo
323,Oeste,2025-07-01 13:22:00,Cargar vehículo,VAN-622,Confirmación
324,Sur,2025-07-01 13:23:00,Recoger pedido,VAN-909,Ruta principal
325,Este,2025-07-01 13:24:00,Entrega,VAN-724,Cargar vehículo
326,Norte,2025-07-01 13:25:00,Recoger pedido,VAN-417,Confirmación
327,Norte,2025-07-01 13:26:00,Recoger pedido,VAN-319,Confirmación
328,Norte,2025-07-01 13:27:00,Ruta principal,VAN-977,Cargar vehículo
329,Centro,2025-07-01 13:28:00,Ruta principal,VAN-617,Entrega
330,Este,2025-07-01 13:29:00,Confirmación,VAN-517,Entrega
331,Oeste,2025-07-01 13:30:00,Entrega,VAN-143,Entrega
332,Centro,2025-07-01 13:31:00,Ruta principal,VAN-678,Ruta principal
333,Este,2025-07-01 13:32:00,Confirmación,VAN-964,Recoger pedido
334,Centro,2025-07-01 13:33:00,Entrega,VAN-340,Entrega
335,Centro,2025-07-01 13:34:00,Confirmación,VAN-453,Entrega
336,Oeste,2025-07-01 13:35:00,Recoger pedido,VAN-807,Ruta principal
337,Sur,2025-07-01 13:36:00,Confirmación,VAN-982,Entrega
338,Este,2025-07-01 13:37:00,Recoger pedido,VAN-752,Confirmación
339,Oeste,2025-07-01 13:38:00,Confirmación,VAN-964,Ruta principal
340,Norte,2025-07-01 13:39:00,Recoger pedido,VAN-320,Entrega
341,Este,2025-07-01 13:40:00,Recoger pedido,VAN-208,Confirmación
342,Centro,2025-07-01 13:41:00,Recoger pedido,VAN-846,Recoger pedido
343,Oeste,2025-07-01 13:42:00,Entrega,VAN-846,Confirmación
344,Este,2025-07-01 13:43:00,Cargar vehículo,VAN-359,Cargar vehículo
345,Centro,2025-07-01 13:44:00,Confirmación,VAN-557,Cargar vehículo
346,Oeste,2025-07-01 13:45:00,Cargar vehículo,VAN-462,Ruta principal
347,Centro,2025-07-01 13:46:00,Entrega,VAN-392,Entrega
348,Sur,2025-07-01 13:47:00,Confirmación,VAN-150,Recoger pedido
349,Sur,2025-07-01 13:48:00,Confirmación,VAN-515,Ruta principal
350,Este,2025-07-01 13:49:00,Cargar vehículo,VAN-703,Ruta principal
351,Sur,2025-07-01 13:50:00,Cargar vehículo,VAN-686,Cargar vehículo
352,Norte,2025-07-01 13:51:00,Ruta principal,VAN-524,Confirmación
353,Norte,2025-07-01 13:52:00,Entrega,VAN-351,Cargar vehículo
354,Norte,2025-07-01 13:53:00,Ruta principal,VAN-745,Ruta principal
355,Norte,2025-07-01 13:54:00,Entrega,VAN-281,Entrega
